epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,train_rmse,val_rmse
50,0.0001,"[256, 128, 64]",True,True,3.9683597860818884,3.5951540145792396
50,0.0001,"[256, 128, 64]",True,True,3.562621416572744,3.289435172371233
50,0.0001,"[256, 128, 64]",True,True,4.107446123705107,3.55204641101876
50,0.0001,"[256, 128, 64]",True,False,3.665108888922979,3.352468924851237
50,0.0001,"[256, 128, 64]",True,False,3.638561205035412,3.35067183675531
50,0.0001,"[256, 128, 64]",True,False,4.216383376977592,3.2761667659559603
50,0.0001,"[256, 128, 64]",False,True,3.762467808371171,3.402028635882345
50,0.0001,"[256, 128, 64]",False,True,3.4340583988198117,3.1808026694372282
50,0.0001,"[256, 128, 64]",False,True,3.664792787059287,3.065652745426344
50,0.0001,"[256, 128, 64]",False,False,3.6121631237501637,3.295451054861402
50,0.0001,"[256, 128, 64]",False,False,3.6284865327106326,3.3007318821439666
50,0.0001,"[256, 128, 64]",False,False,4.405907156016817,3.502132253723305
50,0.0001,"[128, 64, 32]",True,True,3.7095928386860684,3.393114716773453
50,0.0001,"[128, 64, 32]",True,True,3.872951137961692,3.498370190346651
50,0.0001,"[128, 64, 32]",True,True,4.088849977170601,3.436701946735914
50,0.0001,"[128, 64, 32]",True,False,3.7777635520993362,3.3354556022956436
50,0.0001,"[128, 64, 32]",True,False,3.910500537797225,3.415733971918141
50,0.0001,"[128, 64, 32]",True,False,4.430536449210138,3.4819886499524824
50,0.0001,"[128, 64, 32]",False,True,3.4988293902716583,3.2448942634743987
50,0.0001,"[128, 64, 32]",False,True,3.6100205905455023,3.304955698879629
50,0.0001,"[128, 64, 32]",False,True,4.218606222267237,3.5554582461044006
50,0.0001,"[128, 64, 32]",False,False,3.7103842826393523,3.3358044823382325
50,0.0001,"[128, 64, 32]",False,False,3.8164699109004436,3.3657822420323176
50,0.0001,"[128, 64, 32]",False,False,4.422360720044856,3.4785879585258916
50,0.0001,"[128, 128, 128]",True,True,3.9405354024359003,3.646845393932968
50,0.0001,"[128, 128, 128]",True,True,3.3715097737000685,3.1500822439890794
50,0.0001,"[128, 128, 128]",True,True,3.899663116432323,3.4130930896850082
50,0.0001,"[128, 128, 128]",True,False,3.584969550290054,3.295373920326168
50,0.0001,"[128, 128, 128]",True,False,3.6480309569756417,3.3194576408941674
50,0.0001,"[128, 128, 128]",True,False,4.512124435595269,3.5372161037048184
50,0.0001,"[128, 128, 128]",False,True,3.6481651021376673,3.267887962492438
50,0.0001,"[128, 128, 128]",False,True,3.476778135391986,3.226233203863124
50,0.0001,"[128, 128, 128]",False,True,3.9761505736128897,3.6279659181543167
50,0.0001,"[128, 128, 128]",False,False,3.656875572224652,3.308847308386521
50,0.0001,"[128, 128, 128]",False,False,3.5920373752742556,3.296649547573915
50,0.0001,"[128, 128, 128]",False,False,4.333849195153343,3.3987714555302815
50,0.0001,"[128, 64]",True,True,3.6591158221494426,3.323453537158575
50,0.0001,"[128, 64]",True,True,3.525141578524854,3.1759653876342737
50,0.0001,"[128, 64]",True,True,4.016679225030508,3.3126570267914435
50,0.0001,"[128, 64]",True,False,3.721383670694571,3.2114109508805777
50,0.0001,"[128, 64]",True,False,3.9560914638702314,3.4225421523552146
50,0.0001,"[128, 64]",True,False,4.38810705449376,3.4489178500481987
50,0.0001,"[128, 64]",False,True,3.6374231021151795,3.330382086733528
50,0.0001,"[128, 64]",False,True,3.62256618046609,3.27895276794348
50,0.0001,"[128, 64]",False,True,3.931183074207053,3.3358830748134713
50,0.0001,"[128, 64]",False,False,3.9626703355654236,3.4186608547150557
50,0.0001,"[128, 64]",False,False,3.76070798242227,3.1935207719698426
50,0.0001,"[128, 64]",False,False,4.376750453137871,3.449555507785393
50,0.0001,"[256, 64]",True,True,3.737377994306145,3.408620585157438
50,0.0001,"[256, 64]",True,True,3.6965016156117128,3.3445750833544934
50,0.0001,"[256, 64]",True,True,4.026873898953204,3.396372652001828
50,0.0001,"[256, 64]",True,False,3.8547429749101645,3.3431766993893075
50,0.0001,"[256, 64]",True,False,3.790230481353486,3.316365694349446
50,0.0001,"[256, 64]",True,False,4.257303762143584,3.3466946559419983
50,0.0001,"[256, 64]",False,True,3.6708034253170907,3.3962668043089925
50,0.0001,"[256, 64]",False,True,3.643570336248593,3.292303871907454
50,0.0001,"[256, 64]",False,True,3.9548531647418717,3.398919452827505
50,0.0001,"[256, 64]",False,False,3.687498206352848,3.2733900208872915
50,0.0001,"[256, 64]",False,False,3.787274263013799,3.322776429655772
50,0.0001,"[256, 64]",False,False,4.346004174505513,3.4454793574423066
50,0.0001,"[512, 128, 64]",True,True,3.6716013403439636,3.3131107230083385
