Train Set,Test Set,Target,RMSE
lvid,lvid,MBT,0.052078813
lvid,svid,MBT,0.05132088
lvid,both,MBT,0.065972656
svid,lvid,MBT,0.106680945
svid,svid,MBT,0.041075133
svid,both,MBT,0.06996567
both,lvid,MBT,0.051337633
both,svid,MBT,0.047019716
both,both,MBT,0.07723051
lvid,lvid,%TOC,4.519088
lvid,svid,%TOC,3.5125787
lvid,both,%TOC,4.0897584
svid,lvid,%TOC,2.348867
svid,svid,%TOC,0.6333953
svid,both,%TOC,1.7351246
both,lvid,%TOC,4.2341113
both,svid,%TOC,1.1765397
both,both,%TOC,3.2076359
