Train Set,Test Set,Target,RMSE
lvid,lvid,%TOC,1.220555961895239
lvid,svid,%TOC,2.6906820190941705
lvid,both,%TOC,2.3040749622344494
svid,lvid,%TOC,4.182629266774362
svid,svid,%TOC,0.6919630202054126
svid,both,%TOC,2.667681606600472
both,lvid,%TOC,1.1390255136480654
both,svid,%TOC,0.8032980295810033
both,both,%TOC,0.9390736627192002
