epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,activation,train_rmse,val_rmse,RMSE %
50,0.001,"[256, 128, 64]",True,True,ReLU(),5.606478844449398,5.937133049480299,218.92514687203627
50,0.001,"[256, 128, 64]",True,True,LeakyReLU(negative_slope=0.01),5.059675794812747,5.308338244008119,207.08050228821224
50,0.001,"[256, 128, 64]",True,True,Sigmoid(),5.441005797435804,5.747587251740363,215.35466157691516
50,0.001,"[256, 128, 64]",True,False,ReLU(),5.687090443917739,5.868378005398644,217.63000407918062
50,0.001,"[256, 128, 64]",True,False,LeakyReLU(negative_slope=0.01),5.671488581191004,5.871023206098428,217.67983187971134
50,0.001,"[256, 128, 64]",True,False,Sigmoid(),5.973771482157542,6.269358171181651,225.18329095039778
50,0.001,"[256, 128, 64]",False,True,ReLU(),5.674626726946682,5.9976048081647315,220.06425693265138
50,0.001,"[256, 128, 64]",False,True,LeakyReLU(negative_slope=0.01),5.81336837936905,6.0399050742878,220.86106952344986
50,0.001,"[256, 128, 64]",False,True,Sigmoid(),6.887229871172441,7.098373117261911,240.79949405122494
50,0.001,"[256, 128, 64]",False,False,ReLU(),5.746205879446451,6.008396113205546,220.2675333778314
50,0.001,"[256, 128, 64]",False,False,LeakyReLU(negative_slope=0.01),5.667747822195826,5.857844030700897,217.4315749807467
50,0.001,"[256, 128, 64]",False,False,Sigmoid(),5.667737607410569,5.951630729244436,219.1982405149892
50,0.001,"[128, 64, 32]",True,True,ReLU(),5.446315852592558,5.713241494749987,214.70768854060344
50,0.001,"[128, 64, 32]",True,True,LeakyReLU(negative_slope=0.01),5.4154493436545055,5.712636232843526,214.6962871866168
50,0.001,"[128, 64, 32]",True,True,Sigmoid(),5.437522522140391,5.740437059138406,215.21997298003268
50,0.001,"[128, 64, 32]",True,False,ReLU(),5.5438018803417135,5.748187282992996,215.36596440076926
50,0.001,"[128, 64, 32]",True,False,LeakyReLU(negative_slope=0.01),5.663787123535368,5.8780272463584184,217.811767396367
50,0.001,"[128, 64, 32]",True,False,Sigmoid(),5.617459197184136,5.869633411726968,217.6536522417257
50,0.001,"[128, 64, 32]",False,True,ReLU(),5.618885323004424,5.907044896868331,218.35837457879984
50,0.001,"[128, 64, 32]",False,True,LeakyReLU(negative_slope=0.01),5.574822525940631,5.806290110853613,216.46045077269048
50,0.001,"[128, 64, 32]",False,True,Sigmoid(),5.280163131476551,5.5300616042178055,211.25711821245295
50,0.001,"[128, 64, 32]",False,False,ReLU(),5.612862144846948,5.86013729050515,217.4747732500125
