Train Set,Test Set,Target,RMSE
lvid,lvid,MBT,0.03385651942283113
lvid,svid,MBT,0.07334084529779314
lvid,both,MBT,0.08531255414796052
svid,lvid,MBT,0.01541411264547262
svid,svid,MBT,0.024713494060836366
svid,both,MBT,0.06120463335454559
both,lvid,MBT,0.016883497348927058
both,svid,MBT,0.04816465716691936
both,both,MBT,0.022255829340664397
