Train Set,Test Set,Fold,Target,RMSE
lvid,lvid,0,%toc,2.8431380231946988
svid,svid,0,%toc,1.562584744612298
both,lvid,0,%toc,5.425235994388439
both,svid,0,%toc,0.7986241570260324
both,both,0,%toc,3.1680066874773796
lvid,lvid,1,%toc,2.515201594431722
svid,svid,1,%toc,1.0190775206121678
both,lvid,1,%toc,4.98823413955154
both,svid,1,%toc,1.6668765088984707
both,both,1,%toc,4.06055508671015
lvid,lvid,2,%toc,4.413352562904474
svid,svid,2,%toc,0.6872019194682062
both,lvid,2,%toc,2.086230858711352
both,svid,2,%toc,0.735544110226185
both,both,2,%toc,2.1232999330863005
lvid,lvid,3,%toc,3.2009235994321976
svid,svid,3,%toc,0.38738510292694384
both,lvid,3,%toc,3.245044055624169
both,svid,3,%toc,2.7807707935861403
both,both,3,%toc,2.7878942534911535
lvid,lvid,4,%toc,4.26183114267517
svid,svid,4,%toc,1.585423820805273
both,lvid,4,%toc,2.727605326355774
both,svid,4,%toc,1.24591614390142
both,both,4,%toc,2.7736075506769406
lvid,lvid,0,mbt,0.039528857641171936
svid,svid,0,mbt,0.06051335847232292
both,lvid,0,mbt,0.09506198483185023
both,svid,0,mbt,0.028771178534130384
both,both,0,mbt,0.04220978905451022
lvid,lvid,1,mbt,0.09393064122076837
svid,svid,1,mbt,0.06927404117698618
both,lvid,1,mbt,0.05137137849628804
both,svid,1,mbt,0.05018219400069465
both,both,1,mbt,0.18725200637371153
lvid,lvid,2,mbt,0.16133307265749242
svid,svid,2,mbt,0.02207327334240757
both,lvid,2,mbt,0.03179515439773393
both,svid,2,mbt,0.05647089862853506
both,both,2,mbt,0.2170914284322581
lvid,lvid,3,mbt,0.1813367922036854
svid,svid,3,mbt,0.10513104618947364
both,lvid,3,mbt,0.06230637398364341
both,svid,3,mbt,0.05247577074129278
both,both,3,mbt,0.08506539161452747
lvid,lvid,4,mbt,0.04744685653693236
svid,svid,4,mbt,0.09030946158347802
both,lvid,4,mbt,0.11110956418150852
both,svid,4,mbt,0.0597870002364606
both,both,4,mbt,0.06009629887138852
