learning_rate,layer_sizes,use_dropout,use_batch_norm,train_rmse,val_rmse
0.0001,"[128, 128, 128]",False,True,2.4594929162489763,2.6739699197375937
0.0001,"[128, 128, 128]",False,True,2.452968731146469,2.647877058169228
0.0001,"[128, 128, 128]",False,True,2.070814164967907,2.464725137014197
0.0001,"[128, 128, 128]",False,False,2.4997363424602845,2.7807553615914418
0.0001,"[128, 128, 128]",False,False,2.344679224451891,2.621333223419745
0.0001,"[128, 128, 128]",False,False,2.2762798319713475,2.3277717597318
0.0001,"[128, 64]",True,True,2.2711420144821735,2.5373178940608487
0.0001,"[128, 64]",True,True,2.5205243701914624,2.824743504992346
0.0001,"[128, 64]",True,True,2.333551966065025,2.5720414595093053
0.0001,"[128, 64]",True,False,2.5826485443512324,2.818740536943382
0.0001,"[128, 64]",True,False,2.506650522651304,2.777637709800904
0.0001,"[128, 64]",True,False,2.297897254894964,2.3084846147249403
0.0001,"[128, 64]",False,True,2.5224659703873145,2.7854864697739368
0.0001,"[128, 64]",False,True,2.317038795594929,2.560929094159328
0.0001,"[128, 64]",False,True,2.3402947650478314,2.6006081578427134
0.0001,"[128, 64]",False,False,2.3352258951740628,2.6181551746236185
0.0001,"[128, 64]",False,False,2.3042804645695414,2.588998155998883
0.0001,"[128, 64]",False,False,2.305495438270208,2.3263646478984836
0.0001,"[256, 64]",True,True,2.2801007101418107,2.5749731250900343
0.0001,"[256, 64]",True,True,2.4364898850421244,2.7436786821802492
0.0001,"[256, 64]",True,True,2.3438571917324693,2.5950913181553528
0.0001,"[256, 64]",True,False,2.3099238497358354,2.615573932644339
0.0001,"[256, 64]",True,False,2.2240554510568717,2.521979083900177
0.0001,"[256, 64]",True,False,2.4183259858130897,2.447463216601376
0.0001,"[256, 64]",False,True,2.520272240241843,2.787806928507446
0.0001,"[256, 64]",False,True,2.501617116575685,2.7813013160281836
0.0001,"[256, 64]",False,True,2.200246567932437,2.3873440708631004
