epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,activation,train_rmse,val_rmse,RMSE %
50,0.001,"[256, 128, 64]",True,True,ReLU(),2.2427187175190646,2.4936670255561157,102.3887842280597
50,0.001,"[256, 128, 64]",True,True,LeakyReLU(negative_slope=0.01),2.175903918083015,2.3524516510795537,99.36313191814648
50,0.001,"[256, 128, 64]",True,True,Sigmoid(),2.1388497851231785,2.3722391018654636,99.78709387271127
50,0.001,"[256, 128, 64]",True,False,ReLU(),2.4357019734901444,2.6918202497651884,106.63437549435942
50,0.001,"[256, 128, 64]",True,False,LeakyReLU(negative_slope=0.01),2.393000499205953,2.5895499651869955,104.44315287489279
50,0.001,"[256, 128, 64]",True,False,Sigmoid(),2.250031042462899,2.3976546934416305,100.33164324380688
50,0.001,"[256, 128, 64]",False,True,ReLU(),2.757913857037767,2.954706289653292,112.26691909508044
50,0.001,"[256, 128, 64]",False,True,LeakyReLU(negative_slope=0.01),2.6176763413688953,2.860611331802022,110.25085938749433
50,0.001,"[256, 128, 64]",False,True,Sigmoid(),2.3158075398093243,2.6770513297193865,106.31793957357432
50,0.001,"[256, 128, 64]",False,False,ReLU(),2.3774593167031832,2.729701164543656,107.44600438197831
50,0.001,"[256, 128, 64]",False,False,LeakyReLU(negative_slope=0.01),2.4740234153910436,2.739238917697806,107.65035836941914
50,0.001,"[256, 128, 64]",False,False,Sigmoid(),2.4122352015705686,2.379032023757006,99.93263765566259
50,0.001,"[128, 64, 32]",True,True,ReLU(),2.1220274779621224,2.362081788541256,99.56946531324446
50,0.001,"[128, 64, 32]",True,True,LeakyReLU(negative_slope=0.01),2.0510848503207035,2.2269678970993207,96.67454215591849
50,0.001,"[128, 64, 32]",True,True,Sigmoid(),1.5551800798728161,1.9179028265409952,90.05257589966287
50,0.001,"[128, 64, 32]",True,False,ReLU(),2.2419663891983292,2.552742608247974,103.65452582237
50,0.001,"[128, 64, 32]",True,False,LeakyReLU(negative_slope=0.01),2.371813552812346,2.6313456032333398,105.3386578386261
50,0.001,"[128, 64, 32]",True,False,Sigmoid(),2.3303302027496957,2.23194231659008,96.78112307091081
50,0.001,"[128, 64, 32]",False,True,ReLU(),2.181539228695948,2.4255095412676186,100.92845563041404
50,0.001,"[128, 64, 32]",False,True,LeakyReLU(negative_slope=0.01),1.8312085640959606,1.9978548188391936,91.76561126196586
50,0.001,"[128, 64, 32]",False,True,Sigmoid(),2.5908292810725526,2.8927869716537473,110.94024819803398
50,0.001,"[128, 64, 32]",False,False,ReLU(),2.3690738042440698,2.59590057817302,104.5792198358859
50,0.001,"[128, 64, 32]",False,False,LeakyReLU(negative_slope=0.01),2.388613112578726,2.6124320043044866,104.93341885880557
50,0.001,"[128, 64, 32]",False,False,Sigmoid(),2.571553269749927,2.7251842727227578,107.34922636313875
50,0.001,"[128, 128, 128]",True,True,ReLU(),2.3765687583993027,2.6142864077937444,104.97315093629061
50,0.001,"[128, 128, 128]",True,True,LeakyReLU(negative_slope=0.01),2.5213725168791994,2.829184503731015,109.57751446808493
50,0.001,"[128, 128, 128]",True,True,Sigmoid(),1.4740254357919178,1.8366005853622018,88.31061037547295
50,0.001,"[128, 128, 128]",True,False,ReLU(),2.4599137536334257,2.6350996838702843,105.41909201792757
50,0.001,"[128, 128, 128]",True,False,LeakyReLU(negative_slope=0.01),2.404382191590131,2.5438266368644715,103.46349400652413
50,0.001,"[128, 128, 128]",True,False,Sigmoid(),2.2165816062549335,2.2818508504011636,97.85045331324181
50,0.001,"[128, 128, 128]",False,True,ReLU(),2.3225169054544565,2.5610286982884816,103.83206192680723
50,0.001,"[128, 128, 128]",False,True,LeakyReLU(negative_slope=0.01),2.044425322198559,2.213736791127854,96.39105513126792
50,0.001,"[128, 128, 128]",False,True,Sigmoid(),2.366009044227258,2.7644023752265685,108.18950556694998
50,0.001,"[128, 128, 128]",False,False,ReLU(),2.398924247658019,2.668535918236071,106.13549007386611
50,0.001,"[128, 128, 128]",False,False,LeakyReLU(negative_slope=0.01),2.3754804825432947,2.6466351058639734,105.6662476575341
50,0.001,"[128, 128, 128]",False,False,Sigmoid(),2.240433324745715,2.3416866418515796,99.13248298804528
50,0.001,"[128, 64]",True,True,ReLU(),2.3643128858088307,2.548748231031283,103.56894309671323
50,0.001,"[128, 64]",True,True,LeakyReLU(negative_slope=0.01),2.2416114434174887,2.4655791950189494,101.78698000057926
50,0.001,"[128, 64]",True,True,Sigmoid(),2.0580898497373723,2.49152604088405,102.3429119195909
